property_id,type,property_size,property_area,area_sqyd,price,purpose,built_in_year,parking_spaces,floors,bedrooms,bathrooms,servant_quarters,kitchens,store_rooms,state,city,area,tier,population,median_monthly_income
52019795-9155-1,House,Small (100-250),5 Marla,151.25,18500000,For Sale,2024-01-01,1,2,4,6,1,2,1,Punjab,Rawalpindi,Airport Housing Society,1,6120000,85000
52663951-9155-1,House,Small (100-250),6 Marla,181.5,17000000,For Sale,2024-01-01,,,3,4,,,,Punjab,Rawalpindi,Airport Housing Society,1,6120000,85000
52176256-443-1,House,Medium (250-500),10 Marla,302.5,63500000,For Sale,2008-01-01,2,1,4,4,1,1,1,Punjab,Rawalpindi,Askari 11,1,6120000,85000
52520614-1516-1,House,Medium (250-500),10 Marla,302.5,63000000,For Sale,2024-01-01,2,2,4,4,,1,1,Punjab,Rawalpindi,Askari 10,1,6120000,85000
51357154-3036-1,House,Large (500-1000),1 Kanal,605,149000000,For Sale,2024-01-01,4,4,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51556271-3035-1,House,Medium (250-500),10 Marla,302.5,62500000,For Sale,2024-01-01,3,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51556566-3036-1,House,Medium (250-500),10 Marla,302.5,59000000,For Sale,2024-01-01,2,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51641884-3080-1,House,Medium (250-500),12 Marla,363,50000000,For Sale,2012-01-01,3,2,3,4,1,1,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51443084-3078-1,House,Medium (250-500),14 Marla,423.5,62500000,For Sale,2024-01-01,2,3,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51621828-3035-1,House,Medium (250-500),10 Marla,302.5,62500000,For Sale,2024-01-01,2,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51745584-3036-1,House,Large (500-1000),1 Kanal,605,125000000,For Sale,2024-01-01,4,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51857753-3045-1,House,Large (500-1000),1 Kanal,605,150000000,For Sale,2023-01-01,4,3,5,6,2,3,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52201776-3048-1,House,Small (100-250),5 Marla,151.25,18500000,For Sale,2022-01-01,,,3,4,1,2,2,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51708942-3048-1,House,Small (100-250),7 Marla,211.75,24500000,For Sale,2024-01-01,,2,5,5,3,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52202568-3048-1,House,Medium (250-500),10 Marla,302.5,34000000,For Sale,2024-01-01,,,5,6,,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52504908-3048-1,House,Small (100-250),5 Marla,151.25,19500000,For Sale,2024-01-01,,,3,4,1,2,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52652456-14741-1,House,Medium (250-500),10 Marla,302.5,31500000,For Sale,2024-01-01,,,6,,2,2,3,Punjab,Rawalpindi,Gulshan Abad,1,6120000,85000
52673882-3074-1,House,Small (100-250),5 Marla,151.25,18000000,For Sale,2023-01-01,,2,4,6,,1,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52649713-3055-1,House,Medium (250-500),14 Marla,423.5,57500000,For Sale,2025-01-01,3,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51791405-3048-1,House,Small (100-250),7 Marla,211.75,32500000,For Sale,2025-01-01,1,2,5,5,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52692485-9154-1,House,Medium (250-500),12.4 Marla,375.1,50000000,For Sale,2024-01-01,,,6,6,,,,Punjab,Rawalpindi,Airport Housing Society,1,6120000,85000
52708350-9179-1,House,Small (100-250),5 Marla,151.25,5800000,For Sale,2024-01-01,,,3,3,,,,Punjab,Rawalpindi,Samarzar Housing Society,1,6120000,85000
52548474-10610-1,House,Small (100-250),5 Marla,151.25,17500000,For Sale,2024-01-01,,2,3,3,,1,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52596767-3048-1,House,Small (100-250),6 Marla,181.5,26000000,For Sale,2024-01-01,,,4,5,1,2,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52559611-3050-1,House,Large (500-1000),1 Kanal,605,85000000,For Sale,2025-01-01,3,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52583824-10610-1,House,Small (100-250),5 Marla,151.25,12000000,For Sale,2024-01-01,,,2,3,,,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52524103-11748-1,House,Small (100-250),5 Marla,151.25,12800000,For Sale,2024-01-01,,,3,4,,1,,Punjab,Rawalpindi,Adiala Road,1,6120000,85000
52561466-11748-1,House,Small (100-250),5 Marla,151.25,11800000,For Sale,2024-01-01,,,3,4,1,1,,Punjab,Rawalpindi,Adiala Road,1,6120000,85000
48493895-11748-1,House,Medium (250-500),10 Marla,302.5,26500000,For Sale,2024-01-01,,,7,6,,,,Punjab,Rawalpindi,Adiala Road,1,6120000,85000
51962452-3049-1,House,Very Large (1000-2000),1.8 Kanal,1089,180000000,For Sale,2024-01-01,6,2,6,6,1,3,2,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52074767-3035-1,House,Medium (250-500),10 Marla,302.5,68000000,For Sale,2025-01-01,3,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52076158-3036-1,House,Large (500-1000),1 Kanal,605,117000000,For Sale,2025-01-01,3,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51936044-8301-1,House,Medium (250-500),10 Marla,302.5,54000000,For Sale,2024-01-01,2,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52087549-3045-1,House,Medium (250-500),10 Marla,302.5,61500000,For Sale,2025-01-01,2,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52134481-3050-1,House,Large (500-1000),1 Kanal,605,85000000,For Sale,2025-01-01,4,2,4,5,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52133249-3050-1,House,Large (500-1000),1 Kanal,605,85000000,For Sale,2025-01-01,3,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52216291-8301-1,House,Medium (250-500),10 Marla,302.5,59500000,For Sale,2025-01-01,2,3,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52648013-3095-1,House,Medium (250-500),10 Marla,302.5,29000000,For Sale,2024-01-01,,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52648235-3048-1,House,Small (100-250),5 Marla,151.25,14500000,For Sale,2025-01-01,,2,3,3,1,1,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
50290855-3080-1,House,Medium (250-500),16 Marla,484,55000000,For Sale,2014-01-01,2,2,4,5,1,1,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52713244-1058-1,House,Small (100-250),5 Marla,151.25,15000000,For Sale,2024-01-01,,,4,4,,,,Punjab,Rawalpindi,Gulshan Abad,1,6120000,85000
50456729-3067-1,House,Small (100-250),7 Marla,211.75,22500000,For Sale,2024-01-01,2,2,5,6,1,2,2,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
48756405-3069-1,House,Small (100-250),8 Marla,242,22500000,For Sale,2024-01-01,1,2,5,6,1,1,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
49722406-3068-1,House,Small (100-250),7 Marla,211.75,22000000,For Sale,2023-01-01,2,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52579582-3048-1,House,Medium (250-500),10.4 Marla,314.6,39500000,For Sale,2025-01-01,2,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52036812-3048-1,House,Large (500-1000),1 Kanal,605,85000000,For Sale,2025-01-01,3,2,5,7,1,2,2,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
